vector_sizes,epochs,w2v_type,accuracy,f1,recall,precision,roc_auc
600,10,skipgram,0.8623862294480495,0.8628869572323652,0.866191373244539,0.8596256225792125,0.9262402474021434
600,15,skipgram,0.8655026108752206,0.8661903166070832,0.8707445733351269,0.8616878396834238,0.9280371203223188
600,20,skipgram,0.8655520760333892,0.8661744224052521,0.8703422664836514,0.8620559329334594,0.9279600366948124
600,25,skipgram,0.8629797532345268,0.8633274180071627,0.8657274299858002,0.8609531606735636,0.925792226696908
600,30,skipgram,0.8624109329713617,0.8629365322983054,0.8664389900176082,0.8594785668421256,0.9251178513352
600,35,skipgram,0.8617184329910126,0.8620952159142654,0.8645809686182127,0.8596483271661721,0.9237724822015996
600,40,skipgram,0.8593193865831026,0.859594003851597,0.861458110156792,0.8577651763975492,0.9217734101017796
600,45,skipgram,0.8592452117846175,0.85975211616962,0.8629987839372408,0.8565574389601043,0.9215172270907326
600,50,skipgram,0.8586021096753857,0.8588971775320282,0.8608609923645606,0.8569670262949952,0.9214067836683884
700,5,skipgram,0.8567470362577193,0.857578152523123,0.8628214237666008,0.8524255173259713,0.9202866470376174
700,10,skipgram,0.8636229165138053,0.8643681151020122,0.8692208924753464,0.8595806474038549,0.9266643597772534
700,15,skipgram,0.8653047165990213,0.8658419753847773,0.8695348738491697,0.8621904191991824,0.928590338216188
700,20,skipgram,0.8663187446952187,0.8669923151391151,0.8714844045243579,0.8625485834107043,0.9279754362999868
700,25,skipgram,0.8661455447668244,0.8666403686444839,0.8700882337409315,0.8632342253588708,0.927498954862616
700,30,skipgram,0.8644885430184928,0.8650464270960609,0.8687950257654169,0.8613348630695782,0.9264158477174692
700,35,skipgram,0.8627324855552286,0.863274803615967,0.8668809791694331,0.8597092280804999,0.9251444728445573
700,40,skipgram,0.8631777606753124,0.8634960262848799,0.8656505007599803,0.8613670660377769,0.9247392410519192
700,45,skipgram,0.860803430024724,0.8611884578816402,0.8637313903030618,0.8586787363567959,0.9228129960066852
700,50,skipgram,0.8595913669612198,0.8598608185815326,0.8616937964197549,0.8580526521149732,0.922645237928896
800,5,skipgram,0.8556588517140504,0.8565429207604274,0.8620768886372279,0.8510946727963807,0.9190013325799494
800,10,skipgram,0.863474447635244,0.8640882764243303,0.8682169705554745,0.8600260436010867,0.9262941158269352
800,15,skipgram,0.8664672502758082,0.8671319688724901,0.8715828416649176,0.8627307656628197,0.9280955907336936
800,20,skipgram,0.8662197440333284,0.8667815618756747,0.8706309156673798,0.8629803779392816,0.9282928123023
800,25,skipgram,0.8668134635639546,0.8672479244732647,0.8702935636454535,0.8642407403093173,0.92846660726886
800,30,skipgram,0.8662692887125575,0.8668556990577445,0.8709207988688584,0.8628354493048687,0.9279111624644688
800,35,skipgram,0.86550262310923,0.8661767623666818,0.8706510497792902,0.8617662100438462,0.9269543043614732
800,40,skipgram,0.8651810827593722,0.8655706134481541,0.8682634642745996,0.8629057572199041,0.925671759792474
800,45,skipgram,0.8633013669884406,0.8637894758234774,0.8670414009420391,0.8605782730850636,0.9250346168755248
800,50,skipgram,0.8630787324869011,0.8636440015918193,0.8673367106949847,0.8599969473182398,0.9244923416645608
900,5,skipgram,0.8551394966090538,0.8558433095649525,0.8602460613103229,0.8515013522421014,0.9193202256783736
900,10,skipgram,0.8646369262589889,0.8652455032889768,0.8693146947290842,0.8612451122162834,0.9264851113953376
900,15,skipgram,0.8667640167568003,0.8675299607458499,0.8727137443318489,0.86241727748485,0.9285989262661803
900,20,skipgram,0.8667639800547722,0.8674436078510013,0.8720220410664519,0.862915671235956,0.9292007092387612
900,25,skipgram,0.867530667067616,0.867979341668501,0.8712064150580856,0.8647803052309966,0.9291473374459852
900,30,skipgram,0.8671349091002402,0.8676210665513435,0.8710600517507954,0.8642156194862161,0.928708498421038
900,35,skipgram,0.8660961958317446,0.8664974233678722,0.8693521256661692,0.8636816560181924,0.9275720760791436
900,40,skipgram,0.8650326536413413,0.8655901547126927,0.8693911057403261,0.8618285679887505,0.927463616345148
900,45,skipgram,0.8655519995708311,0.8659912318382389,0.8690541043518044,0.8629673018894639,0.9273980248521176
900,50,skipgram,0.8656756456444892,0.8663841955902729,0.8712634556554226,0.8615768126255199,0.9259386043321264
1000,5,skipgram,0.8571428462196347,0.8578865281175935,0.862622855699942,0.8532224102943452,0.9197898760696586
1000,10,skipgram,0.864166993493128,0.864869888601218,0.8695896594077605,0.8602086518136236,0.9267818175797128
1000,15,skipgram,0.8666897899637753,0.8672613439154058,0.8711042825550747,0.8634627336465375,0.9291449531713134
1000,20,skipgram,0.8666897838467709,0.8672324377646096,0.8709756213950837,0.8635363205804811,0.9293286017191617
1000,25,skipgram,0.8689156700868166,0.8694249970500451,0.8729627994024275,0.8659263745283903,0.9292674471473932
1000,30,skipgram,0.8681489983664845,0.8685482685204866,0.8714672216437449,0.8656624776564712,0.9288816528116488
1000,35,skipgram,0.8672833871543085,0.8677668806950175,0.871131365161015,0.8644365140205477,0.928865113203343
1000,40,skipgram,0.8693856303791982,0.8697985573655975,0.8727666959209006,0.8668642463008991,0.9283613881127392
1000,45,skipgram,0.8667392367709299,0.8671528185538404,0.8700890125723477,0.8642466646890867,0.9277137917177448
1000,50,skipgram,0.8660713883193532,0.8665403099637488,0.8698422779642723,0.8632870070016064,0.9269627013510576
