length_used,w2v_type,vector_size,epochs,ngrams,model,accuracy,f1,recall,precision,roc_auc
,cbow,300,30,"(1, 2)",LightGBM,0.8589235399191596,0.8652204893500427,0.9059363735516056,0.8280280096017286,0.9423481489862606
,cbow,300,30,"(1, 2)",Catboost,0.8675058381457083,0.8724398585569324,0.9064866930222912,0.8408933501387799,0.947507275147726
,cbow,300,30,"(1, 2)",XGBoost,0.8618173143713121,0.8668925949125785,0.9002657574939791,0.8359334115280653,0.942467137901538
,cbow,300,30,"(1, 2)",AdaBoost,0.810422418626328,0.8189430797209024,0.8573204910193134,0.784520058119805,0.8966008200402941
,cbow,300,30,"(1, 2)",KNN,0.8146517829340525,0.8257588986772075,0.8785642805150333,0.778975110750187,0.888865677816239
,cbow,300,30,"(1, 2)",SVM,0.5069748533914554,0.6674024452242117,0.9891805701736978,0.50370491793481,0.7482892385396658
MinMaxScaler,cbow,300,30,"(1, 2)",LogisticRegression,0.8666401076519415,0.8671730797914252,0.8709664298591836,0.8634333648496078,0.9290528281429096
MinMaxScaler,cbow,300,30,"(1, 2)",LightGBM,0.8615452942326648,0.8697556346375677,0.924817664250803,0.8209151414001443,0.9508711299275387
MinMaxScaler,cbow,300,30,"(1, 2)",Catboost,0.8727740502960308,0.8796102030430999,0.9296716618969568,0.8346811860281947,0.9566609959538136
MinMaxScaler,cbow,300,30,"(1, 2)",XGBoost,0.8655768376682456,0.872665037519581,0.9213000299195138,0.8289174659437972,0.9513202633942246
MinMaxScaler,cbow,300,30,"(1, 2)",AdaBoost,0.8142560004986583,0.8235976909504107,0.867254366308812,0.7846034762794802,0.9018651502885678
MinMaxScaler,cbow,300,30,"(1, 2)",KNN,0.8161357560301201,0.82679067783627,0.8778215131743579,0.7813962463420678,0.8903159424821918
MinMaxScaler,cbow,300,30,"(1, 2)",SVM,0.5094727291851254,0.6681064715625898,0.9874259207868036,0.5049111637645188,0.7862803203196657
StandardScaler,cbow,300,30,"(1, 2)",LogisticRegression,0.8665659022684331,0.8670889770636089,0.8708172297562307,0.863413300399349,0.9290535131734888
StandardScaler,cbow,300,30,"(1, 2)",LightGBM,0.8625594416104532,0.8706604592706902,0.9253740857321407,0.8220895016449186,0.9506925663859236
StandardScaler,cbow,300,30,"(1, 2)",Catboost,0.8727740502960308,0.8796102030430999,0.9296716618969568,0.8346811860281947,0.9566609959538136
StandardScaler,cbow,300,30,"(1, 2)",XGBoost,0.8655768376682456,0.872665037519581,0.9213000299195138,0.8289174659437972,0.9513202633942246
StandardScaler,cbow,300,30,"(1, 2)",AdaBoost,0.8142560004986583,0.8235976909504107,0.867254366308812,0.7846034762794802,0.9018651502885678
StandardScaler,cbow,300,30,"(1, 2)",KNN,0.8348091453256863,0.8379753484650057,0.8544518997747022,0.8221964347219144,0.9067461059282712
StandardScaler,cbow,300,30,"(1, 2)",SVM,0.5838450273997461,0.6923018122680392,0.9356135599205776,0.5499983887906611,0.8165438733426701
,cbow,300,30,"(1, 3)",LogisticRegression,0.8244707468168407,0.8392679993947452,0.916574265310862,0.7740259302467012,0.9144171667779034
,cbow,300,30,"(1, 3)",LightGBM,0.8024334300910935,0.8242002805234087,0.9264594950901832,0.7423563775952484,0.9218269164385292
