data,length_used,feature_extraction,feature_selection,model,accuracy,f1,recall,precision,roc_auc,notes
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.69259,0.69013,0.68369,0.70038,0.69297,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.69141,0.69919,0.71674,0.68546,0.69114,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.70469,0.6966,0.67729,0.72284,0.76737,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.72591,0.69844,0.63485,0.77622,0.7726,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.72826,0.7162,0.68528,0.75307,0.78166,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.72445,0.69424,0.62544,0.78407,0.78429,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.72779,0.69096,0.60864,0.79905,0.78421,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.72549,0.71339,0.68237,0.75151,0.79252,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.778,0.75232,0.67425,0.85086,0.85357,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.69269,0.69625,0.70326,0.6934,0.69247,
